tempo,count
Medium Tempo,172
Medium,71
Medium Fast,67
60s,44
"",36
Medium Slow,34
Fast Tempo,32
Slow Tempo,32
Fast,30
Medium Tempo/Medium Fast/120s,27
120s,27
Medium Tempo/Medium/80s,27
80s,27
Medium Tempo/Medium/60s,23
Slow Tempo/Slow/40s,22
40s,22
Slow,22
Medium Tempo/Medium Fast/90s,22
90s,22
Medium Tempo/Medium Slow/60s,21
Medium Tempo/Medium/70s,21
70s,21
Fast Tempo/Fast/130s,17
130s,17
Medium Tempo/Medium Slow/50s,13
50s,13
Medium Tempo/Medium Fast/110s,13
110s,13
Slow Tempo/Very Slow/30s,9
30s,9
Very Slow,9
Medium Tempo/Medium Fast/100s,5
100s,5
Fast Tempo/Fast/150s,5
150s,5
Fast Tempo/Fast/140s,4
140s,4
Fast Tempo/Fast/170s,3
170s,3
Very Fast,2
Fast Tempo/Fast/160s,1
160s,1
Fast Tempo/Very Fast/200s,1
200s,1
Fast Tempo/Very Fast/190s,1
190s,1
Slow Tempo/Static/0,1
0,1
Static,1
